"","gender","age","statereside","hhincome","education","maritalstatus","citizenus","working","probvote","Vote24Harris","Vote24Trump","Vote24Other","white","ContactsHarris","ContactsTrump","income","presvote"
"902","Male",66,"42 Pennsylvania","14 75,000 to 99,999",9,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",30,70,0,"1 Yes",55,45,14,"Trump"
"903","Male",44,"42 Pennsylvania","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",52,46,16,NA
"904","Male",63,"6 California","16 150,000 or more",10,"6 Never married","1 Yes","0 No","100",NA,NA,NA,"1 Yes",10,90,16,NA
"905","Male",78,"41 Oregon","15 100,000 to 149,999",14,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",100,0,15,NA
"906","Male",69,"41 Oregon","10 35,000 to 39,999",14,"1 Married (spouse lives with me)","1 Yes","0 No","100",100,NA,NA,"1 Yes",98,2,10,"Harris"
"907","Female",43,"1 Alabama","13 60,000 to 74,999",13,"6 Never married","1 Yes","1 Yes","100",100,0,0,"0 No",45,40,13,"Harris"
"908","Female",68,"13 Georgia","7 20,000 to 24,999",11,"4 Divorced","1 Yes","0 No","80",25,75,0,"1 Yes",10,90,7,"Trump"
"909","Female",43,"13 Georgia","14 75,000 to 99,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",70,20,10,"1 Yes",85,10,14,"Harris"
"910","Female",42,"6 California","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,NA,NA,"1 Yes",NA,NA,16,"Harris"
"911","Male",58,"20 Kansas","14 75,000 to 99,999",7,"1 Married (spouse lives with me)","1 Yes","1 Yes","25",100,0,0,"1 Yes",25,75,14,"Harris"
"912","Male",48,"4 Arizona","14 75,000 to 99,999",9,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",100,0,14,NA
"913","Male",74,"16 Idaho","13 60,000 to 74,999",13,"6 Never married","1 Yes","0 No","100",NA,NA,NA,"1 Yes",43,57,13,NA
"914","Male",38,"19 Iowa","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",4,95,15,NA
"915","Female",33,"20 Kansas","16 150,000 or more",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","98",NA,100,NA,"1 Yes",10,90,16,"Trump"
"916","Female",63,"35 New Mexico","6 15,000 to 19,999",10,"4 Divorced","1 Yes","0 No","100",100,0,0,"1 Yes",80,20,6,"Harris"
"917","Male",39,"35 New Mexico","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",80,0,20,"1 Yes",70,30,16,"Harris"
"918","Male",70,"12 Florida","13 60,000 to 74,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",60,40,NA,"1 Yes",80,20,13,"Harris"
"919","Female",67,"8 Colorado","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",40,60,16,NA
"920","Female",65,"8 Colorado","14 75,000 to 99,999",14,"4 Divorced","1 Yes","0 No","100",NA,NA,NA,"1 Yes",90,10,14,NA
"921","Female",43,"8 Colorado","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,NA,NA,"1 Yes",90,10,16,"Harris"
"922","Male",88,"9 Connecticut","15 100,000 to 149,999",9,"5 Widowed","1 Yes","0 No","99",NA,99,1,"1 Yes",50,50,15,"Trump"
"923","Male",70,"9 Connecticut","15 100,000 to 149,999",14,"5 Widowed","1 Yes","0 No","100",1,98,1,"1 Yes",40,60,15,"Trump"
"924","Female",36,"48 Texas","15 100,000 to 149,999",10,"4 Divorced","1 Yes","1 Yes","50",100,NA,NA,"1 Yes",50,50,15,"Harris"
"925","Male",64,"34 New Jersey","16 150,000 or more",12,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",35,65,16,"Trump"
"926","Female",61,"39 Ohio","14 75,000 to 99,999",13,"4 Divorced","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",20,80,14,NA
"927","Male",56,"39 Ohio","15 100,000 to 149,999",13,"4 Divorced","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",5,95,15,"Trump"
"928","Female",64,"27 Minnesota","14 75,000 to 99,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","98",100,0,0,"1 Yes",98,0,14,"Harris"
"929","Female",57,"55 Wisconsin","16 150,000 or more",11,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",20,70,10,"1 Yes",25,60,16,"Trump"
"930","Male",44,"51 Virginia","14 75,000 to 99,999",9,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,100,0,"1 Yes",0,100,14,"Trump"
"931","Female",47,"39 Ohio","16 150,000 or more",15,"1 Married (spouse lives with me)","1 Yes","1 Yes","10",0,0,100,"1 Yes",10,89,16,"Other"
"932","Female",64,"35 New Mexico","11 40,000 to 49,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",40,60,11,NA
"933","Female",42,"48 Texas","16 150,000 or more",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","10",70,30,NA,"0 No",50,50,16,"Harris"
"934","Male",47,"8 Colorado","15 100,000 to 149,999",13,"5 Widowed","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",50,50,15,"Trump"
"935","Female",77,"42 Pennsylvania","12 50,000 to 59,999",13,"1 Married (spouse lives with me)","1 Yes","0 No","99",100,NA,NA,"1 Yes",49,50,12,"Harris"
"936","Female",42,"42 Pennsylvania","12 50,000 to 59,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",51,49,12,NA
"937","Female",42,"4 Arizona","10 35,000 to 39,999",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",0,100,10,NA
"938","Female",65,"42 Pennsylvania","14 75,000 to 99,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,50,50,"1 Yes",45,55,14,"Trump"
"939","Male",68,"12 Florida","13 60,000 to 74,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,100,NA,"1 Yes",10,90,13,"Trump"
"940","Male",40,"37 North Carolina","13 60,000 to 74,999",9,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,100,0,"1 Yes",20,70,13,"Trump"
"941","Female",44,"42 Pennsylvania","9 30,000 to 34,999",10,"4 Divorced","1 Yes","0 No","100",NA,100,NA,"1 Yes",0,100,9,"Trump"
"942","Female",51,"6 California","16 150,000 or more",8,"1 Married (spouse lives with me)","1 Yes","0 No",".a",NA,NA,NA,"1 Yes",20,75,16,NA
"943","Female",42,"37 North Carolina","15 100,000 to 149,999",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,0,"1 Yes",80,20,15,"Harris"
"944","Male",48,"54 West Virginia","16 150,000 or more",15,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",30,60,10,"1 Yes",30,65,16,"Trump"
"945","Male",74,"26 Michigan","11 40,000 to 49,999",10,"4 Divorced","1 Yes","0 No","99",40,60,NA,"1 Yes",50,50,11,"Trump"
"946","Female",63,"55 Wisconsin","9 30,000 to 34,999",11,"1 Married (spouse lives with me)","1 Yes","0 No","100",100,0,0,"1 Yes",50,50,9,"Harris"
"947","Male",40,"32 Nevada","12 50,000 to 59,999",12,"3 Separated","1 Yes","1 Yes","100",100,0,0,"1 Yes",50,50,12,"Harris"
"948","Female",68,"12 Florida","10 35,000 to 39,999",9,"1 Married (spouse lives with me)","1 Yes","0 No","80",NA,100,NA,"1 Yes",10,90,10,"Trump"
"949","Male",68,"41 Oregon","1 Less than $5,000",13,"6 Never married","1 Yes","0 No","0",0,0,100,"1 Yes",NA,NA,1,"Other"
"950","Female",42,"41 Oregon","15 100,000 to 149,999",9,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",10,90,15,NA
"951","Female",44,"45 South Carolina","11 40,000 to 49,999",10,"6 Never married","1 Yes","1 Yes","90",100,0,0,"0 No",100,0,11,"Harris"
"952","Male",59,"42 Pennsylvania","14 75,000 to 99,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,0,"1 Yes",49,50,14,"Harris"
"953","Male",77,"42 Pennsylvania","13 60,000 to 74,999",13,"5 Widowed","1 Yes","0 No","100",NA,100,NA,"1 Yes",2,98,13,"Trump"
"954","Male",35,"42 Pennsylvania","14 75,000 to 99,999",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,0,100,"0 No",0,0,14,"Other"
"955","Female",65,"42 Pennsylvania","5 12,500 to 14,999",9,"6 Never married","1 Yes","0 No","100",NA,NA,NA,"1 Yes",75,20,5,NA
"956","Male",69,"55 Wisconsin","13 60,000 to 74,999",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",40,55,13,"Trump"
"957","Female",88,"28 Mississippi","4 10,000 to 12,499",7,"5 Widowed","1 Yes","0 No","100",100,0,0,"0 No",2,98,4,"Harris"
"958","Male",47,"20 Kansas","14 75,000 to 99,999",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","90",10,90,0,"1 Yes",50,50,14,"Trump"
"959","Female",35,"36 New York","1 Less than $5,000",12,"6 Never married","1 Yes","1 Yes","100",100,0,0,"1 Yes",90,10,1,"Harris"
"960","Male",57,"1 Alabama","14 75,000 to 99,999",13,"6 Never married","1 Yes","1 Yes","99",99,0,1,"1 Yes",66,34,14,"Harris"
"961","Female",61,"20 Kansas","14 75,000 to 99,999",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,100,0,"1 Yes",0,90,14,"Trump"
"962","Female",46,"20 Kansas","13 60,000 to 74,999",9,"1 Married (spouse lives with me)","1 Yes","0 No","90",100,0,0,"1 Yes",50,40,13,"Harris"
"963","Male",40,"21 Kentucky","14 75,000 to 99,999",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","75",0,100,0,"1 Yes",5,95,14,"Trump"
"964","Female",79,"42 Pennsylvania","9 30,000 to 34,999",16,"4 Divorced","1 Yes","0 No","100",NA,NA,NA,"1 Yes",90,10,9,NA
"965","Male",58,"42 Pennsylvania","13 60,000 to 74,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",80,20,13,NA
"966","Female",45,"6 California","13 60,000 to 74,999",10,"6 Never married","1 Yes","1 Yes","100",100,0,0,"0 No",70,20,13,"Harris"
"967","Male",69,"36 New York","7 20,000 to 24,999",9,"5 Widowed","1 Yes","0 No","100",NA,100,NA,"0 No",25,75,7,"Trump"
"968","Female",57,"12 Florida","13 60,000 to 74,999",10,"4 Divorced","1 Yes","1 Yes","100",100,NA,NA,"1 Yes",75,25,13,"Harris"
"969","Male",40,"12 Florida","15 100,000 to 149,999",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",30,70,15,NA
"970","Male",68,"54 West Virginia","13 60,000 to 74,999",7,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,100,NA,"1 Yes",10,90,13,"Trump"
"971","Female",57,"36 New York","3 7,500 to 9,999",9,"6 Never married","1 Yes","0 No","0",0,100,0,"1 Yes",25,65,3,"Trump"
"972","Female",41,"48 Texas","14 75,000 to 99,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",5,95,14,"Trump"
"973","Male",58,"48 Texas","12 50,000 to 59,999",9,"4 Divorced","1 Yes","1 Yes","50",NA,100,NA,"1 Yes",50,50,12,"Trump"
"974","Male",56,"29 Missouri","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,0,100,"1 Yes",0,40,15,"Other"
"975","Female",58,"13 Georgia","4 10,000 to 12,499",13,"6 Never married","1 Yes","0 No","100",100,NA,NA,"0 No",60,35,4,"Harris"
"976","Female",56,"36 New York","11 40,000 to 49,999",11,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,100,NA,"1 Yes",10,90,11,"Trump"
"977","Female",68,"37 North Carolina","8 25,000 to 2,999",12,"4 Divorced","1 Yes","0 No","99",NA,100,NA,"1 Yes",25,75,8,"Trump"
"978","Male",69,"6 California","12 50,000 to 59,999",12,"1 Married (spouse lives with me)","1 Yes","0 No","100",100,NA,NA,"0 No",85,5,12,"Harris"
"979","Female",85,"6 California","15 100,000 to 149,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",75,25,15,NA
"980","Female",36,"6 California","16 150,000 or more",13,"1 Married (spouse lives with me)","1 Yes","0 No","90",99,1,NA,"0 No",90,10,16,"Harris"
"981","Female",38,"6 California","15 100,000 to 149,999",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,0,"1 Yes",60,40,15,"Harris"
"982","Male",81,"20 Kansas","14 75,000 to 99,999",14,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",40,55,14,NA
"983","Male",63,"20 Kansas","12 50,000 to 59,999",10,"4 Divorced","1 Yes","0 No","100",NA,NA,NA,"1 Yes",0,100,12,NA
"984","Female",71,"51 Virginia","12 50,000 to 59,999",10,"5 Widowed","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",10,75,12,"Trump"
"985","Male",45,"51 Virginia","11 40,000 to 49,999",9,"3 Separated","1 Yes","1 Yes","100",0,100,0,"1 Yes",0,100,11,"Trump"
"986","Female",63,"51 Virginia","13 60,000 to 74,999",9,"1 Married (spouse lives with me)","1 Yes","0 No","100",20,55,25,"1 Yes",10,70,13,"Trump"
"987","Male",57,"42 Pennsylvania","15 100,000 to 149,999",16,"1 Married (spouse lives with me)","1 Yes","1 Yes","99",100,0,0,"1 Yes",100,0,15,"Harris"
"988","Female",67,"42 Pennsylvania","16 150,000 or more",12,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",25,75,16,NA
"989","Female",34,"24 Maryland","15 100,000 to 149,999",14,"6 Never married","1 Yes","1 Yes","50",50,0,50,"1 Yes",100,0,15,"Harris"
"990","Female",64,"16 Idaho","12 50,000 to 59,999",9,"1 Married (spouse lives with me)","1 Yes","0 No","0",NA,100,NA,"1 Yes",13,87,12,"Trump"
"991","Female",61,"19 Iowa",".e",11,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",2,98,NA,NA
"992","Male",43,"55 Wisconsin","8 25,000 to 2,999",12,"1 Married (spouse lives with me)","1 Yes","0 No","100",100,0,0,"1 Yes",90,10,8,"Harris"
"993","Male",47,"22 Louisiana","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",0,100,15,NA
"994","Female",60,"22 Louisiana","4 10,000 to 12,499",9,"1 Married (spouse lives with me)","1 Yes","0 No","100",0,100,0,"1 Yes",0,100,4,"Trump"
"995","Female",55,"39 Ohio","13 60,000 to 74,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",0,100,NA,"1 Yes",0,100,13,"Trump"
"996","Male",64,"26 Michigan","9 30,000 to 34,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,100,NA,"1 Yes",NA,NA,9,"Trump"
"997","Female",51,"42 Pennsylvania","14 75,000 to 99,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,0,"0 No",79,21,14,"Harris"
"998","Female",64,"42 Pennsylvania","11 40,000 to 49,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",10,90,11,NA
"999","Male",64,"5 Arkansas","5 12,500 to 14,999",9,"6 Never married","1 Yes","0 No","5",75,20,5,"0 No",25,50,5,"Harris"
"1000","Female",55,"5 Arkansas","11 40,000 to 49,999",14,"6 Never married","1 Yes","1 Yes","100",100,NA,NA,"0 No",97,3,11,"Harris"
"1001","Male",54,"47 Tennessee","14 75,000 to 99,999",9,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",0,100,14,NA
"1002","Female",75,"48 Texas","14 75,000 to 99,999",14,"6 Never married","1 Yes","0 No","100",NA,100,NA,"1 Yes",5,95,14,"Trump"
"1003","Female",36,"48 Texas","13 60,000 to 74,999",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","50",10,80,10,"1 Yes",5,85,13,"Trump"
"1004","Female",66,"42 Pennsylvania","4 10,000 to 12,499",9,"4 Divorced","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",70,30,4,NA
"1005","Female",35,"42 Pennsylvania","4 10,000 to 12,499",9,"6 Never married","1 Yes","0 No","100",40,30,30,"1 Yes",90,5,4,"Harris"
"1006","Male",77,"42 Pennsylvania","9 30,000 to 34,999",11,"5 Widowed","1 Yes","0 No","100",NA,NA,NA,"1 Yes",60,40,9,NA
"1007","Male",65,"48 Texas","14 75,000 to 99,999",9,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,100,0,"1 Yes",1,99,14,"Trump"
"1008","Female",67,"6 California","16 150,000 or more",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",90,10,16,NA
"1009","Female",51,"6 California","14 75,000 to 99,999",12,"6 Never married","1 Yes","1 Yes","85",95,0,5,"0 No",80,10,14,"Harris"
"1010","Male",63,"53 Washington","12 50,000 to 59,999",11,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,100,NA,"1 Yes",28,70,12,"Trump"
"1011","Male",67,"53 Washington","13 60,000 to 74,999",10,"6 Never married","1 Yes","0 No","100",100,0,0,"1 Yes",100,0,13,"Harris"
"1012","Female",63,"53 Washington","14 75,000 to 99,999",11,"4 Divorced","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",39,60,14,NA
"1013","Female",31,"36 New York","14 75,000 to 99,999",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,100,"1 Yes",5,95,14,"Other"
"1014","Male",67,"17 Illinois","12 50,000 to 59,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,100,NA,"1 Yes",70,30,12,"Trump"
"1015","Female",49,"53 Washington","16 150,000 or more",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,0,"1 Yes",80,20,16,"Harris"
"1016","Female",86,"47 Tennessee","14 75,000 to 99,999",14,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",2,98,14,NA
"1017","Male",60,"47 Tennessee","15 100,000 to 149,999",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",100,0,15,NA
"1018","Male",43,"18 Indiana","16 150,000 or more",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","99",0,100,0,"1 Yes",10,85,16,"Trump"
"1019","Male",67,"47 Tennessee","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","0",0,100,NA,"1 Yes",50,50,16,"Trump"
"1020","Female",67,"8 Colorado","8 25,000 to 2,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",50,0,50,"1 Yes",40,60,8,"Harris"
"1021","Female",59,"8 Colorado","14 75,000 to 99,999",14,"4 Divorced","1 Yes","1 Yes","100",65,0,35,"1 Yes",65,30,14,"Harris"
"1022","Female",42,"8 Colorado","10 35,000 to 39,999",14,"6 Never married","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",20,75,10,NA
"1023","Male",51,"8 Colorado","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",0,100,15,NA
"1024","Male",49,"42 Pennsylvania","16 150,000 or more",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",0,100,16,"Trump"
"1025","Female",58,"42 Pennsylvania","15 100,000 to 149,999",14,"4 Divorced","1 Yes","1 Yes","50",0,50,50,"1 Yes",25,75,15,"Trump"
"1026","Female",37,"42 Pennsylvania","14 75,000 to 99,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","40",20,80,0,"1 Yes",10,90,14,"Trump"
"1027","Female",63,"42 Pennsylvania","5 12,500 to 14,999",9,"4 Divorced","1 Yes","0 No","100",0,100,0,"1 Yes",0,100,5,"Trump"
"1028","Male",77,"42 Pennsylvania","14 75,000 to 99,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","99",95,0,5,"1 Yes",50,45,14,"Harris"
"1029","Female",58,"42 Pennsylvania",".e",9,"1 Married (spouse lives with me)","1 Yes","0 No","100",100,0,0,"1 Yes",50,50,NA,"Harris"
"1030","Male",89,"42 Pennsylvania","12 50,000 to 59,999",11,"5 Widowed","1 Yes","0 No","100",NA,NA,NA,"1 Yes",100,0,12,NA
"1031","Female",80,"48 Texas","12 50,000 to 59,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",0,100,12,NA
"1032","Female",48,"46 South Dakota","14 75,000 to 99,999",9,"1 Married (spouse lives with me)","1 Yes","0 No","90",75,15,10,"1 Yes",40,50,14,"Harris"
"1033","Male",48,"46 South Dakota","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",0,100,0,"1 Yes",10,90,15,"Trump"
"1034","Male",63,"32 Nevada","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,100,NA,"1 Yes",0,100,15,"Trump"
"1035","Male",73,"26 Michigan","14 75,000 to 99,999",13,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",70,30,14,NA
"1036","Male",79,"48 Texas","14 75,000 to 99,999",13,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",60,40,14,NA
"1037","Female",44,"42 Pennsylvania","14 75,000 to 99,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",100,0,14,NA
"1038","Male",70,"42 Pennsylvania","9 30,000 to 34,999",9,"1 Married (spouse lives with me)","1 Yes","0 No","99",NA,100,NA,"1 Yes",10,90,9,"Trump"
"1039","Male",28,"35 New Mexico","11 40,000 to 49,999",10,"6 Never married","1 Yes","1 Yes","100",100,0,0,"1 Yes",95,5,11,"Harris"
"1040","Male",39,"55 Wisconsin","15 100,000 to 149,999",9,"1 Married (spouse lives with me)","1 Yes","1 Yes","85",10,10,80,"1 Yes",45,35,15,"Other"
"1041","Female",53,"34 New Jersey","16 150,000 or more",9,"1 Married (spouse lives with me)","1 Yes","0 No","100",0,100,0,"1 Yes",25,75,16,"Trump"
"1042","Male",43,"26 Michigan","16 150,000 or more",14,"6 Never married","1 Yes","1 Yes","100",52,48,0,"1 Yes",70,30,16,"Harris"
"1043","Female",27,"54 West Virginia","8 25,000 to 2,999",9,"1 Married (spouse lives with me)","1 Yes","0 No","0",NA,100,NA,"1 Yes",0,100,8,"Trump"
"1044","Male",60,"47 Tennessee","14 75,000 to 99,999",10,"1 Married (spouse lives with me)","1 Yes","1 Yes","99",0,100,0,"1 Yes",10,90,14,"Trump"
"1045","Male",47,"55 Wisconsin","13 60,000 to 74,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",18,82,13,NA
"1046","Female",41,"13 Georgia","13 60,000 to 74,999",9,"1 Married (spouse lives with me)","1 Yes","0 No","90",0,100,0,"1 Yes",0,100,13,"Trump"
"1047","Female",63,"42 Pennsylvania","13 60,000 to 74,999",9,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",33,34,13,NA
"1048","Female",47,"39 Ohio","9 30,000 to 34,999",9,"6 Never married","1 Yes","0 No","100",NA,NA,NA,"1 Yes",0,100,9,NA
"1049","Male",45,"27 Minnesota","9 30,000 to 34,999",9,"6 Never married","1 Yes","0 No","75",0,0,100,"0 No",50,50,9,"Other"
"1050","Female",70,"42 Pennsylvania","11 40,000 to 49,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","90",NA,100,NA,"1 Yes",20,80,11,"Trump"
"1051","Female",33,"35 New Mexico","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","20",10,10,80,"1 Yes",10,40,15,"Other"
"1052","Male",61,"26 Michigan","4 10,000 to 12,499",9,"4 Divorced","1 Yes","0 No","80",50,50,NA,"1 Yes",50,50,4,"Trump"
"1053","Male",54,"47 Tennessee","15 100,000 to 149,999",11,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",15,85,15,NA
"1054","Male",47,"39 Ohio","7 20,000 to 24,999",10,"4 Divorced","1 Yes","1 Yes","50",NA,100,NA,"1 Yes",0,100,7,"Trump"
"1055","Female",43,"9 Connecticut","16 150,000 or more",14,"1 Married (spouse lives with me)","1 Yes","1 Yes","10",10,50,40,"1 Yes",20,80,16,"Trump"
"1056","Male",63,"55 Wisconsin","7 20,000 to 24,999",9,"2 Married (spouse lives elsewhere)","1 Yes","0 No","0",0,50,50,"1 Yes",NA,NA,7,"Trump"
"1057","Female",70,"55 Wisconsin","10 35,000 to 39,999",9,"5 Widowed","1 Yes","0 No","100",0,100,0,"1 Yes",10,90,10,"Trump"
"1058","Female",36,"51 Virginia","12 50,000 to 59,999",13,"6 Never married","1 Yes","1 Yes","50",0,50,50,"0 No",40,40,12,"Trump"
"1059","Male",70,"6 California","13 60,000 to 74,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,NA,NA,"1 Yes",0,100,13,NA
"1060","Female",41,"29 Missouri","15 100,000 to 149,999",14,"6 Never married","1 Yes","1 Yes","0",0,100,0,"1 Yes",25,75,15,"Trump"
"1061","Male",63,"12 Florida","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",100,0,0,"1 Yes",49,51,15,"Harris"
"1062","Male",60,"32 Nevada","16 150,000 or more",9,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,NA,NA,"1 Yes",2,90,16,NA
"1063","Male",26,"32 Nevada","15 100,000 to 149,999",11,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",0,100,15,"Trump"
"1064","Male",77,"1 Alabama","13 60,000 to 74,999",10,"1 Married (spouse lives with me)","1 Yes","0 No","100",NA,100,NA,"1 Yes",0,100,13,"Trump"
"1065","Male",72,"29 Missouri","12 50,000 to 59,999",10,"4 Divorced","1 Yes","0 No","100",0,0,100,"1 Yes",40,40,12,"Other"
"1066","Female",63,"42 Pennsylvania","7 20,000 to 24,999",12,"1 Married (spouse lives with me)","1 Yes","0 No","100",0,100,0,"1 Yes",50,50,7,"Trump"
"1067","Female",45,"40 Oklahoma","13 60,000 to 74,999",5,"1 Married (spouse lives with me)","1 Yes","1 Yes","100",NA,100,NA,"1 Yes",0,100,13,"Trump"
"1068","Female",89,"40 Oklahoma","11 40,000 to 49,999",9,"5 Widowed","1 Yes","0 No","100",NA,100,NA,"1 Yes",20,80,11,"Trump"
"1069","Male",79,"48 Texas","15 100,000 to 149,999",13,"1 Married (spouse lives with me)","1 Yes","0 No","100",100,0,0,"1 Yes",80,0,15,"Harris"
"1070","Female",71,"48 Texas","4 10,000 to 12,499",12,"5 Widowed","1 Yes","0 No","100",0,100,0,"1 Yes",5,95,4,"Trump"
"1071","Male",45,"48 Texas","9 30,000 to 34,999",10,"6 Never married","1 Yes","0 No","100",100,0,0,"0 No",97,3,9,"Harris"
"1072","Male",81,"19 Iowa","9 30,000 to 34,999",10,"2 Married (spouse lives elsewhere)","1 Yes","0 No","90",90,NA,10,"1 Yes",75,25,9,"Harris"
