"","X","player","season","team","goals_z","xg_z","crosses_z","boxtouches_z","passes_z","progpasses_z","takeons_z","progruns_z","tackles_z","interceptions_z","clearances_z","blocks_z","aerials_z","fouls_z","fouled_z","nsxg_z","off","offplus"
"432",432,"Keita Baldé",2018,"Senegal",-0.42,-0.53,-0.51,-0.65,-1.06,-0.85,0.16,-0.18,-0.34,-0.79,-0.59,-0.45,-0.31,-0.62,0.36,-0.44,-1.03,-0.345
"433",433,"Khadim N'Diaye",2018,"Senegal",-0.42,-0.59,-0.51,-0.8,-0.64,1.22,-0.67,-0.84,-0.82,-0.79,-0.59,-0.45,-0.31,-1.11,-0.49,-0.77,0.38,-0.2
"434",434,"Lamine Gassama",2018,"Senegal",-0.42,-0.59,-0.51,-0.8,-0.73,0.1,0.16,-0.84,-0.34,-0.29,-0.38,-0.45,-0.31,-0.62,0.36,-0.77,-0.74,-0.2725
"435",435,"M'Baye Niang",2018,"Senegal",1.88,1.67,2.6,2.59,-0.22,0.02,0.16,0.26,-0.26,-0.29,-0.38,-0.45,1.16,1.81,0.79,1.32,0.28,0.76
"436",436,"Mame Biram Diouf",2018,"Senegal",-0.42,-0.3,-0.51,-0.35,-1.16,-0.85,-0.67,-0.84,-0.6,-0.79,-0.8,-0.45,0.28,-0.14,-0.91,-0.77,-1.69,-0.7175
"437",437,"Moussa Konaté",2018,"Senegal",-0.42,-0.18,-0.51,-0.65,-1.17,-1.02,-0.67,-0.84,-0.82,-0.79,-0.8,-0.45,-0.6,-1.11,-0.91,-0.59,-1.86,-0.76
"438",438,"Moussa Wagué",2018,"Senegal",1.88,-0.36,2.6,-0.5,0.13,1.22,0.57,-0.84,-0.6,0.39,0.05,-0.45,-0.89,-0.62,-0.49,1.1,0.38,0.8875
"439",439,"Sadio Mané",2018,"Senegal",1.88,0.61,0.27,0.68,0.15,-0.33,1.39,1.79,-0.34,0.22,-0.59,-0.45,-0.31,2.3,1.63,1.06,1.46,0.78
"440",440,"Salif Sané",2018,"Senegal",-0.42,0.2,-0.51,0.68,0.51,0.62,-0.67,0.26,-0.26,0.49,2.83,0.81,4.1,-0.62,-0.91,-0.44,0.88,-0.075
"441",441,"Youssouf Sabaly",2018,"Senegal",-0.42,-0.47,-0.51,0.23,0.41,0.96,0.57,0.91,-0.58,-0.09,0.69,-0.45,-0.6,2.79,-0.06,1.03,1.87,0.4825
"442",442,"Adem Ljajic",2018,"Serbia",-0.42,-0.44,1.05,-0.35,-0.12,-0.5,1.81,1.13,-0.57,-0.79,-0.8,-0.45,-0.89,-0.62,-0.91,0.48,0.63,0.8725
"443",443,"Aleksandar Kolarov",2018,"Serbia",1.88,-0.41,0.27,-0.8,0.91,2,-0.67,0.26,-0.82,0.11,0.48,-0.02,1.45,2.3,1.21,0.4,2.26,0.465
"444",444,"Aleksandar Mitrovic",2018,"Serbia",1.88,4.22,-0.51,5.97,-0.7,-1.1,0.16,-0.4,0.62,-0.79,0.48,-0.02,4.39,1.32,2.06,0.48,-1.5,-0.4625
"445",445,"Antonio Rukavina",2018,"Serbia",-0.42,-0.59,0.27,-0.21,-0.47,-0.07,-0.26,-0.84,0.35,-0.79,0.26,-0.45,-0.89,-0.14,-0.91,-0.19,-0.91,-0.225
"446",446,"Branislav Ivanovic",2018,"Serbia",-0.42,-0.59,2.6,0.23,0.11,1.65,0.57,-0.18,1.23,-0.36,0.91,-0.45,0.57,-0.62,0.79,0.99,1.47,1.16
"447",447,"Dusan Tadic",2018,"Serbia",-0.42,-0.33,4.15,3.03,-0.1,0.45,0.98,1.35,1.06,-0.11,0.05,-0.45,-0.31,0.35,0.79,5.11,1.8,1.7325
"448",448,"Dusko Tosic",2018,"Serbia",-0.42,0.73,-0.51,-0.5,0.03,0.45,-0.67,0.91,0.39,0.25,0.91,0.42,0.28,0.84,0.79,0.03,1.36,0.045
"449",449,"Filip Kostic",2018,"Serbia",-0.42,-0.03,-0.51,0.82,-0.81,-1.1,0.57,0.04,0.25,-0.79,-0.8,-0.45,-0.6,0.35,0.36,-0.37,-1.06,-0.25
"450",450,"Luka Milivojevic",2018,"Serbia",-0.42,-0.59,0.27,-0.8,0.18,0.02,-0.67,0.26,0.2,-0.6,-0.59,0.51,-0.01,-0.14,0.36,-0.33,0.28,-0.03
"451",451,"Milos Veljkovic",2018,"Serbia",-0.42,-0.59,-0.51,-0.65,-0.47,-0.33,-0.67,-0.18,-0.82,-0.53,-0.59,-0.45,-0.6,-1.11,-0.91,-0.77,-0.51,-0.4225
"452",452,"Nemanja Matic",2018,"Serbia",-0.42,0.23,-0.51,0.82,0.95,0.27,1.81,2.23,0.5,0.34,-0.16,1.97,1.45,2.3,1.21,-0.19,2.5,0.95
"453",453,"Nikola Milenkovic",2018,"Serbia",-0.42,-0.59,-0.51,-0.65,0.74,0.88,-0.67,-0.18,0.26,-0.09,2.83,3.21,1.45,-0.62,-0.49,-0.37,0.7,-0.12
"454",454,"Sergej Milinkovic-Savic",2018,"Serbia",-0.42,-0.03,-0.51,1.85,0.41,-0.24,1.39,0.26,-0.32,-0.28,0.05,-0.02,1.75,3.27,-0.06,2.53,0.02,0.225
"455",455,"Vladimir Stojkovic",2018,"Serbia",-0.42,-0.59,-0.51,-0.8,-0.22,1.91,-0.67,-0.84,-0.57,-0.79,-0.8,-0.45,-0.6,-1.11,-0.91,-0.7,1.07,-0.0275000000000001
"456",456,"Hong Chul",2018,"South Korea",-0.42,-0.59,-0.51,-0.8,-0.85,-0.33,-0.26,-0.84,-0.77,-0.67,1.12,-0.45,-0.89,-0.14,-0.49,-0.48,-1.17,-0.485
"457",457,"Hwang Hee-Chan",2018,"South Korea",-0.42,0.47,-0.51,0.68,-0.87,-0.85,2.22,0.04,1.37,0.11,-0.38,-0.45,-0.6,1.32,1.21,0.7,-0.81,0.225
"458",458,"Jang Hyun-Soo",2018,"South Korea",-0.42,-0.59,-0.51,-0.65,0.28,0.19,0.16,0.48,-0.82,-0.73,2.83,1.55,0.57,1.81,0.36,-0.77,0.67,0.08
"459",459,"Jo Hyeon-Woo",2018,"South Korea",-0.42,-0.59,-0.51,-0.8,-0.33,1.14,-0.67,-0.84,-0.82,-0.79,-0.38,-0.45,-0.01,-1.11,-0.49,-0.77,0.3,-0.22
"460",460,"Ju Se-Jong",2018,"South Korea",-0.42,-0.59,-0.51,-0.5,-0.72,-0.41,-0.67,-0.18,-0.5,-0.24,-0.8,-0.45,-0.89,0.35,-0.49,-0.22,-0.59,-0.4425
"461",461,"Jung Woo-Young",2018,"South Korea",-0.42,-0.3,-0.51,-0.8,-0.29,-0.16,-0.26,-0.4,-0.44,-0.61,0.69,-0.32,-0.89,0.84,-0.06,-0.19,-0.56,-0.3325
"462",462,"Ki Sung-Yueng",2018,"South Korea",-0.42,-0.3,-0.51,-0.06,0.15,-0.24,-0.26,-0.4,-0.48,1.88,0.26,1.77,0.87,1.81,0.36,-0.48,-0.64,-0.3525
"463",463,"Kim Min-Woo",2018,"South Korea",-0.42,-0.53,0.27,-0.5,-0.41,-0.41,-0.26,-0.18,-0.56,-0.52,0.69,-0.45,-0.31,0.35,-0.91,0.11,-0.59,-0.145
"464",464,"Kim Shin-Wook",2018,"South Korea",-0.42,-0.59,-0.51,-0.8,-1.16,-1.02,-0.67,-0.84,-0.82,-0.79,-0.8,-0.45,0.28,0.35,-0.91,-0.59,-1.86,-0.76
"465",465,"Kim Young-Gwon",2018,"South Korea",1.88,0.9,-0.51,-0.35,0.2,0.1,0.16,-0.84,-0.71,-0.02,1.55,0.74,-0.01,0.84,-0.06,-0.48,-0.74,-0.2725
"466",466,"Koo Ja-Cheol",2018,"South Korea",-0.42,-0.47,-0.51,-0.21,-0.85,-1.02,-0.26,-0.18,-0.36,-0.38,-0.59,-0.45,-0.01,-1.11,0.36,-0.52,-1.2,-0.4925
"467",467,"Lee Jae-Sung",2018,"South Korea",-0.42,0.23,0.27,0.82,0.57,0.36,1.39,0.91,0.2,0.72,-0.16,0.34,0.57,1.81,-0.49,1.5,1.27,0.7325
"468",468,"Lee Seung-Woo",2018,"South Korea",-0.42,-0.53,-0.51,-0.8,-0.94,-0.85,-0.26,-0.62,-0.82,-0.79,-0.8,-0.45,-0.6,-0.14,-0.91,-0.77,-1.47,-0.56
"469",469,"Lee Yong",2018,"South Korea",-0.42,-0.53,1.05,-0.65,0.4,1.14,0.16,-0.18,1.12,-0.26,2.61,-0.45,-0.01,1.81,1.21,0.07,0.96,0.5425
"470",470,"Moon Seon-Min",2018,"South Korea",-0.42,-0.21,-0.51,0.82,-0.81,-0.85,0.16,0.48,0.1,-0.24,-0.8,-0.45,-0.89,2.3,-0.91,0.55,-0.37,-0.18
"471",471,"Son Heung-Min",2018,"South Korea",4.17,2.87,1.05,2.88,0.01,-0.07,3.04,1.57,-0.82,-0.44,0.48,-0.45,-0.31,0.35,1.21,2.87,1.5,1.3975
"472",472,"Yun Young-Sun",2018,"South Korea",-0.42,-0.59,-0.51,-0.8,-1.06,-1.02,-0.67,-0.84,-0.77,-0.73,0.48,-0.18,-0.89,-0.62,-0.91,-0.77,-1.86,-0.76
"473",473,"Andrés Iniesta",2018,"Spain",-0.42,-0.06,-0.51,1.65,2.07,0.86,1.33,0.38,-0.18,-0.79,-0.8,-0.45,-0.49,-0.1,0.26,1.95,1.24,0.515
"474",474,"Dani Carvajal",2018,"Spain",-0.42,0.2,0.57,-0.18,0.92,0.63,-0.1,0.07,1.11,-0.12,-0.51,-0.45,-0.69,-0.44,-0.32,0.68,0.7,0.2925
"475",475,"David De Gea",2018,"Spain",-0.42,-0.59,-0.51,-0.8,-0.36,1.1,-0.67,-0.84,-0.82,-0.79,-0.8,-0.45,-0.49,-1.11,-0.91,-0.77,0.26,-0.23
"476",476,"David Silva",2018,"Spain",-0.42,0.89,0.57,2.16,1.13,-0.33,0.76,0.53,-0.23,0.47,-0.51,1.07,-0.69,-0.1,-0.91,1.62,0.2,0.3825
"477",477,"Diego Costa",2018,"Spain",4.34,3.45,-0.51,2.36,-0.54,-0.81,0.19,-0.53,-0.16,-0.79,-0.06,-0.45,-0.28,-0.1,-0.32,0.83,-1.34,-0.415
"478",478,"Gerard Piqué",2018,"Spain",-0.42,1.7,-0.51,1.55,3.09,2.18,-0.67,4.77,0.5,3.14,1.12,1.03,3.17,-0.1,-0.32,-0.44,6.95,1.4425
"479",479,"Iago Aspas",2018,"Spain",1.17,0.91,-0.51,0.73,-0.98,-0.92,-0.67,-0.68,-0.82,-0.79,-0.65,-0.45,-0.69,-0.44,-0.91,0.27,-1.6,-0.695
"480",480,"Isco",2018,"Spain",1.17,1.24,5.41,1.55,4.36,0.98,6.47,7.34,0.47,1.19,-0.51,-0.45,-0.08,-0.77,4.67,4.44,8.32,5.05
"481",481,"Jordi Alba",2018,"Spain",-0.42,-0.39,0.03,-0.08,3.9,1.76,0.19,0.68,1.07,1.8,0.23,-0.45,-0.89,-0.44,-0.03,1.44,2.44,0.665
"482",482,"Koke",2018,"Spain",-0.42,-0.22,1.11,-0.59,2.15,0.45,-0.1,-0.08,1.81,0.41,-0.21,0.91,-0.89,-1.11,-0.62,0.5,0.37,0.345
"483",483,"Lucas Vázquez",2018,"Spain",-0.42,-0.59,-0.51,-0.39,-0.91,-0.81,-0.1,-0.53,-0.16,-0.12,-0.51,-0.45,-0.89,-0.44,-0.03,-0.72,-1.34,-0.4875
"484",484,"Marco Asensio",2018,"Spain",-0.42,-0.37,0.57,-0.29,-0.53,-0.81,-0.1,-0.23,-0.82,-0.79,-0.65,-0.45,-0.89,-1.11,-0.62,-0.04,-1.04,-0.1425
"485",485,"Nacho",2018,"Spain",1.17,-0.51,0.57,-0.59,0.04,0.09,0.19,-0.38,2.8,0.41,-0.65,-0.45,-0.69,-0.1,0.26,0.09,-0.29,0.1175
"486",486,"Rodrigo",2018,"Spain",-0.42,0.02,-0.51,-0.39,-1.2,-1.1,-0.38,-0.84,-0.82,-0.79,-0.8,-0.45,-0.69,-1.11,-0.62,-0.67,-1.94,-0.7075
"487",487,"Sergio Busquets",2018,"Spain",-0.42,0.55,-0.51,0.83,2.56,0.51,0.19,-0.08,1.73,3.08,-0.8,0.91,1.14,0.58,2.61,0.32,0.43,0.0275
"488",488,"Sergio Ramos",2018,"Spain",-0.42,0.89,-0.51,0.83,5.12,2.65,-0.67,2.34,2.46,1.76,0.08,0.91,1.55,0.24,0.26,-0.01,4.99,0.9525
"489",489,"Thiago",2018,"Spain",-0.42,-0.35,-0.51,-0.29,0.19,-0.81,0.47,-0.23,0.41,-0.14,-0.8,-0.45,-0.69,-0.77,-0.62,-0.01,-1.04,-0.27
"490",490,"Albin Ekdal",2018,"Sweden",-0.42,0.43,-0.51,-0.62,0.25,-0.28,1.31,0.35,-0.48,-0.07,0.73,-0.19,0.52,-0.82,1.12,-0.38,0.07,0.2175
"491",491,"Andreas Granqvist",2018,"Sweden",2.33,2.45,-0.51,0.88,0.38,0.5,-0.17,0.61,-0.72,0.47,3.94,4.04,0.87,1.52,0.62,0.17,1.11,0.1075
"492",492,"Emil Forsberg",2018,"Sweden",0.96,1.33,-0.51,-0.09,-0.29,-0.69,1.06,0.35,-0.38,0.53,-0.03,-0.24,-0.37,-0.23,1.63,-0.18,-0.34,0.0525
"493",493,"Emil Krafth",2018,"Sweden",-0.42,-0.59,0.42,-0.8,-0.8,-0.43,-0.17,-0.57,-0.82,-0.79,-0.03,-0.06,-0.72,-1.11,-0.91,-0.44,-1,-0.1875
"494",494,"Gustav Svensson",2018,"Sweden",-0.42,-0.59,-0.51,-0.8,-1.04,-1.05,-0.42,-0.84,-0.76,-0.73,-0.03,-0.16,-0.54,-0.82,-0.91,-0.77,-1.89,-0.705
"495",495,"Isaac Kiese Thelin",2018,"Sweden",-0.42,-0.59,-0.51,-0.27,-1.18,-1.05,-0.67,-0.7,-0.82,-0.79,-0.67,-0.45,-0.19,-0.23,-0.91,-0.77,-1.75,-0.7325
"496",496,"John Guidetti",2018,"Sweden",-0.42,-0.55,-0.51,-0.44,-1.21,-1,-0.67,-0.84,-0.82,-0.76,-0.67,-0.45,-0.89,-0.82,-0.66,-0.53,-1.84,-0.755
"497",497,"Ludwig Augustinsson",2018,"Sweden",0.96,0.48,2.29,-0.53,-0.01,0.81,-0.42,-0.31,-0.18,0.02,1.25,-0.19,0.16,-0.23,-0.4,1.12,0.5,0.5925
"498",498,"Marcus Berg",2018,"Sweden",-0.42,3.19,-0.51,3.88,-0.55,-0.85,-0.17,-0.44,-0.24,-0.41,-0.29,-0.39,1.4,3.27,1.89,0.7,-1.29,-0.4925
"499",499,"Martin Olsson",2018,"Sweden",-0.42,-0.59,-0.04,-0.8,-1.16,-0.95,-0.67,-0.84,-0.82,-0.79,-0.8,-0.45,-0.54,-0.82,-0.66,-0.55,-1.79,-0.625
"500",500,"Mikael Lustig",2018,"Sweden",-0.42,-0.55,0.89,-0.18,-0.29,0.6,-0.42,-0.84,-0.38,-0.53,2.14,0.83,0.69,0.06,-0.15,0.68,-0.24,0.0575
"501",501,"Ola Toivonen",2018,"Sweden",0.96,0.48,-0.51,1.59,-0.57,-0.79,-0.17,-0.57,-0.77,-0.79,-0.16,-0.33,1.57,0.06,2.14,0.99,-1.36,-0.51
"502",502,"Oscar Hiljemark",2018,"Sweden",-0.42,-0.59,-0.51,-0.8,-1.2,-1.1,-0.67,-0.84,-0.82,-0.74,-0.67,-0.45,-0.89,-1.11,-0.66,-0.77,-1.94,-0.78
"503",503,"Pontus Jansson",2018,"Sweden",-0.42,-0.5,-0.51,-0.09,-0.66,-0.48,-0.67,-0.84,-0.82,-0.01,-0.67,-0.45,1.04,-0.23,-0.91,-0.44,-1.32,-0.625
"504",504,"Robin Olsen",2018,"Sweden",-0.42,-0.59,-0.51,-0.8,-0.41,1.63,-0.67,-0.57,-0.82,-0.79,-0.42,-0.45,-0.54,-1.11,-0.66,-0.77,1.06,-0.03
"505",505,"Sebastian Larsson",2018,"Sweden",-0.42,-0.55,1.36,-0.8,0.25,-0.07,-0.67,-0.18,-0.43,-0.76,0.35,-0.26,-0.37,1.52,-0.4,0.64,-0.25,0.11
"506",506,"Victor Lindelöf",2018,"Sweden",-0.42,-0.59,-0.51,-0.8,-0.33,-0.17,-0.42,0.21,-0.6,-0.58,1.89,-0.32,0.34,-0.82,-0.91,-0.55,0.04,-0.2225
"507",507,"Viktor Claesson",2018,"Sweden",-0.42,0.9,-0.51,0.79,-0.12,0.14,0.82,-0.31,0.67,0.98,0.09,-0.09,0.69,0.35,0.62,1.5,-0.17,0.035
"508",508,"Blerim Džemaili",2018,"Switzerland",1.3,3.94,-0.51,2.18,-0.14,-0.59,0.26,0.64,2.07,0.07,-0.64,1.07,-0.45,1.81,0.36,-0.03,0.05,-0.05
"509",509,"Breel Embolo",2018,"Switzerland",-0.42,0.09,0.08,1.63,-0.81,-0.72,0.57,-0.51,-0.23,0.42,-0.48,-0.45,0.21,-0.01,0.36,0.52,-1.23,-0.145
"510",510,"Denis Zakaria",2018,"Switzerland",-0.42,-0.59,0.08,-0.8,-0.9,-0.97,-0.67,-0.67,0.36,-0.79,-0.8,-0.45,-0.89,-0.01,-0.59,-0.47,-1.64,-0.5575
"511",511,"Fabian Schär",2018,"Switzerland",-0.42,-0.48,-0.51,-0.02,1.37,1.48,-0.67,0.15,-0.32,3.98,0.8,0.72,1.09,0.35,0.36,-0.2,1.63,0.1125
"512",512,"Granit Xhaka",2018,"Switzerland",1.3,-0.44,0.08,-0.8,3.21,1.42,0.26,1.46,1.88,0.68,-0.32,1.49,-0.23,0.35,0.36,-0.42,2.88,0.805
"513",513,"Haris Seferović",2018,"Switzerland",-0.42,-0.46,-0.51,-0.13,-1.1,-0.97,-0.67,-0.84,-0.82,-0.79,0,-0.45,-0.23,-0.01,-0.59,-0.58,-1.81,-0.7475
"514",514,"Johan Djourou",2018,"Switzerland",-0.42,-0.44,-0.51,-0.13,-0.42,-0.85,-0.67,-0.67,-0.82,-0.79,0.32,-0.45,-0.01,-0.74,0.04,-0.66,-1.52,-0.675
"515",515,"Josip Drmić",2018,"Switzerland",1.3,0.6,-0.51,-0.02,-1.04,-1.1,-0.67,-0.84,-0.82,-0.11,-0.8,-0.45,-0.23,-1.11,-0.59,-0.66,-1.94,-0.78
"516",516,"Manuel Akanji",2018,"Switzerland",-0.42,-0.37,-0.51,-0.58,2.62,2.38,0.26,3.27,3.51,2.98,0.96,2.44,1.31,-0.01,1,-0.72,5.65,1.35
"517",517,"Mario Gavranović",2018,"Switzerland",-0.42,0.77,-0.51,0.42,-1.14,-1.04,-0.67,-0.84,-0.22,-0.79,-0.8,-0.45,-0.67,-0.74,0.04,-0.61,-1.88,-0.765
"518",518,"Michael Lang",2018,"Switzerland",-0.42,-0.48,0.08,-0.46,-0.5,-0.72,-0.67,-0.67,-0.82,1.49,0.16,-0.45,-0.89,-0.01,-0.91,-0.47,-1.39,-0.495
"519",519,"Ricardo Rodríguez",2018,"Switzerland",-0.42,-0.24,5.9,-0.02,1.14,2.26,1.5,0.31,1.56,1.71,0.64,-0.45,-0.23,0.72,0.04,2.95,2.57,2.4925
"520",520,"Stephan Lichtsteiner",2018,"Switzerland",-0.42,-0.48,1.82,-0.35,0.5,1.54,-0.05,0.48,2.75,1.19,0,3.48,-0.23,-0.38,0.36,0.69,2.02,0.9475
"521",521,"Steven Zuber",2018,"Switzerland",1.3,0.75,-0.51,0.31,-0.32,-0.46,-0.05,0.15,0.44,0.14,-0.48,-0.45,-0.67,-0.38,-0.91,0.27,-0.31,-0.2175
"522",522,"Valon Behrami",2018,"Switzerland",-0.42,-0.55,-0.51,-0.69,1.87,0.19,-0.05,0.31,3.06,1.07,-0.48,0.13,-0.45,2.18,0.68,-0.64,0.5,-0.015
"523",523,"Xherdan Shaqiri",2018,"Switzerland",1.3,1.06,2.4,0.31,0.85,0.32,1.19,1.79,0.35,0.34,-0.8,1.07,-0.89,-0.01,1.95,2.15,2.11,1.425
"524",524,"Yann Sommer",2018,"Switzerland",-0.42,-0.59,-0.51,-0.8,0.32,2,-0.36,-0.67,-0.82,-0.79,-0.48,-0.45,-0.89,-1.11,-0.91,-0.77,1.33,0.115
"525",525,"Ali Maâloul",2018,"Tunisia",-0.42,-0.59,1.05,-0.8,0.57,2,0.16,0.04,-0.82,-0.3,-0.16,0.66,-0.89,-0.62,-0.49,0.7,2.04,0.8125
"526",526,"Anice Badri",2018,"Tunisia",-0.42,-0.06,-0.51,-0.06,0.2,-0.76,0.57,0.7,-0.61,-0.57,-0.8,0.04,-0.89,0.35,-0.06,0.51,-0.0600000000000001,-2.77555756156289e-17
"527",527,"Aymen Mathlouthi",2018,"Tunisia",-0.42,-0.59,-0.51,-0.8,-0.81,-0.33,-0.67,-0.84,-0.82,-0.79,-0.8,-0.45,-0.6,-1.11,-0.49,-0.77,-1.17,-0.5875
"528",528,"Dylan Bronn",2018,"Tunisia",1.88,-0.33,0.27,-0.35,-0.43,-0.33,-0.67,-0.4,-0.13,-0.35,-0.16,0.04,-0.31,-0.62,-0.49,0.07,-0.73,-0.2825
"529",529,"Ellyes Skhiri",2018,"Tunisia",-0.42,-0.59,-0.51,-0.8,1.52,-0.24,0.16,-0.4,1.19,2.72,-0.38,0.66,0.28,1.81,-0.91,-0.66,-0.64,-0.2475
"530",530,"Fakhreddine Ben Youssef",2018,"Tunisia",1.88,2.46,-0.51,1.71,0.09,0.62,-0.67,0.26,-0.18,0.61,0.91,-0.45,0.28,0.35,1.63,0.48,0.88,-0.075
"531",531,"Farouk Ben Mustapha",2018,"Tunisia",-0.42,-0.59,-0.51,-0.8,-0.62,0.1,-0.67,-0.84,-0.82,-0.3,-0.59,-0.45,-0.89,-1.11,-0.49,-0.77,-0.74,-0.48
"532",532,"Ferjani Sassi",2018,"Tunisia",1.88,2.22,-0.51,-0.65,1.12,0.27,-0.26,-0.4,0.28,-0.08,-0.38,-0.45,-0.6,1.81,-0.49,0.88,-0.13,-0.225
"533",533,"Ghaylen Chaaleli",2018,"Tunisia",-0.42,-0.47,0.27,-0.8,-0.03,-0.5,-0.26,-0.62,3.62,0.12,-0.8,-0.45,-0.6,1.32,0.36,-0.48,-1.12,-0.2775
"534",534,"Hamdi Naguez",2018,"Tunisia",-0.42,-0.59,-0.51,-0.06,0.32,0.88,0.98,0.91,1.44,0.12,-0.59,-0.45,-0.01,0.35,-0.06,0.59,1.79,0.565
"535",535,"Naïm Sliti",2018,"Tunisia",-0.42,0.17,-0.51,0.38,-0.49,-0.85,1.81,0.48,-0.34,-0.57,-0.59,-0.45,-0.6,-0.62,0.36,0.03,-0.37,0.2325
"536",536,"Oussama Haddadi",2018,"Tunisia",-0.42,-0.59,1.05,-0.21,-0.66,-0.07,-0.67,-0.62,0.06,2.83,-0.16,-0.45,-0.6,-0.62,-0.91,0.66,-0.69,-0.0775
"537",537,"Rami Bedoui",2018,"Tunisia",-0.42,-0.59,-0.51,-0.06,0.15,0.53,-0.26,0.04,-0.82,-0.79,-0.59,-0.45,1.16,-1.11,-0.49,-0.77,0.57,-0.05
"538",538,"Saif-Eddine Khaoui",2018,"Tunisia",-0.42,-0.36,-0.51,-0.35,-0.7,-0.67,0.57,-0.62,-0.82,-0.3,-0.59,-0.45,-0.89,-0.14,-0.06,-0.59,-1.29,-0.3075
"539",539,"Syam Ben Youssef",2018,"Tunisia",-0.42,-0.59,-0.51,-0.65,-0.56,-0.85,0.16,-0.84,0.09,-0.35,0.05,1.15,-0.6,1.32,-0.49,-0.77,-1.69,-0.51
"540",540,"Wahbi Khazri",2018,"Tunisia",4.17,3.78,3.38,2.15,0.01,-0.24,-0.67,0.26,0.55,-0.3,-0.8,-0.45,-0.6,-0.14,0.79,2.2,0.02,0.6825
"541",541,"Yassine Meriah",2018,"Tunisia",-0.42,-0.59,-0.51,-0.8,2,2.51,-0.26,1.79,-0.13,0.33,0.91,2.71,0.87,0.84,0.79,-0.77,4.3,0.8825
"542",542,"Yohan Benalouane",2018,"Tunisia",-0.42,-0.59,-0.51,-0.8,-1.1,-0.93,-0.67,-0.84,-0.34,0.2,-0.8,-0.45,-0.6,-0.62,-0.49,-0.77,-1.77,-0.7375
"543",543,"Carlos Sánchez",2018,"Uruguay",-0.42,0.06,2.75,-0.35,-0.71,-0.48,-0.42,-0.18,-0.38,-0.73,-0.55,-0.45,-0.72,-0.82,0.11,1.1,-0.66,0.4175
"544",544,"Cristhian Stuani",2018,"Uruguay",-0.42,-0.54,-0.51,-0.44,-1.19,-1.1,-0.67,-0.84,-0.63,-0.69,-0.8,-0.45,-0.19,0.35,-0.15,-0.77,-1.94,-0.78
"545",545,"Cristian Rodríguez",2018,"Uruguay",-0.42,-0.43,-0.51,0.35,-0.62,-0.43,-0.42,-0.57,-0.77,-0.21,-0.67,-0.45,-0.37,-0.52,-0.4,-0.22,-1,-0.4825
"546",546,"Diego Godín",2018,"Uruguay",-0.42,0.9,-0.51,0,0.98,1.43,0.57,1,0.82,3.27,2.14,0.56,0.69,0.35,0.36,-0.27,2.43,0.6225
"547",547,"Diego Laxalt",2018,"Uruguay",-0.42,-0.55,0.42,-0.8,-0.21,0.24,-0.17,-0.44,-0.61,-0.51,0.73,-0.45,-0.37,0.06,0.36,-0.33,-0.2,0.0125
"548",548,"Edinson Cavani",2018,"Uruguay",3.71,3.03,-0.04,1.32,-0.45,-0.33,1.06,-0.18,0.35,-0.73,-0.55,-0.45,-0.37,0.06,0.62,1.48,-0.51,0.1275
"549",549,"Fernando Muslera",2018,"Uruguay",-0.42,-0.59,-0.51,-0.8,-0.11,1.79,-0.67,-0.84,-0.82,-0.79,-0.8,-0.45,-0.37,-1.11,-0.66,-0.77,0.95,-0.0575
"550",550,"Giorgian de Arrascaeta",2018,"Uruguay",-0.42,-0.33,0.89,-0.53,-0.82,-0.79,-0.17,-0.44,0.05,-0.34,-0.8,-0.45,-0.72,-0.82,-0.4,0.04,-1.23,-0.1275
"551",551,"Gullermo Varela",2018,"Uruguay",-0.42,-0.59,-0.04,-0.62,-0.03,-0.12,-0.42,-0.57,0.76,-0.34,-0.55,-0.45,-0.72,-1.11,-0.4,-0.38,-0.69,-0.2875
"552",552,"José Giménez",2018,"Uruguay",0.96,-0.33,-0.51,0.88,0.43,0.5,-0.42,-0.18,0.03,3.55,1.89,-0.18,0.87,-0.23,-0.66,-0.6,0.32,-0.1525
"553",553,"Lucas Torreira",2018,"Uruguay",-0.42,-0.52,-0.04,-0.8,0.19,-0.28,-0.42,-0.7,-0.54,1.81,0.61,1.68,-0.01,0.06,0.87,0.11,-0.98,-0.36
"554",554,"Luis Suárez",2018,"Uruguay",2.33,1.66,0.89,1.76,-0.26,-0.54,0.32,0.21,-0.82,0.17,-0.16,-0.32,-0.01,0.35,1.89,1.7,-0.33,0.22
"555",555,"Martín Cáceres",2018,"Uruguay",-0.42,1.22,0.42,0.97,0.89,1.07,0.07,0.08,-0.67,0.51,0.48,-0.45,-0.01,0.06,-0.4,0.17,1.15,0.41
"556",556,"Matías Vecino",2018,"Uruguay",-0.42,-0.33,-0.51,0.18,1.18,0.65,-0.17,0.87,0.03,3.37,-0.42,0.13,1.22,1.23,-0.15,-0.51,1.52,0.21
"557",557,"Maxi Gómez",2018,"Uruguay",-0.42,-0.59,-0.51,-0.44,-1.22,-1.05,-0.67,-0.84,-0.73,-0.79,-0.8,-0.45,-0.54,-0.82,-0.66,-0.49,-1.89,-0.7675
"558",558,"Nahitan Nández",2018,"Uruguay",-0.42,-0.55,-0.04,-0.44,-0.16,0.24,0.07,0.87,0.78,0.1,-0.29,-0.24,1.22,0.64,0.87,-0.27,1.11,0.285
