"","player","season","team","goals_z","xg_z","crosses_z","boxtouches_z","passes_z","progpasses_z","takeons_z","progruns_z","tackles_z","interceptions_z","clearances_z","blocks_z","aerials_z","fouls_z","fouled_z","nsxg_z"
"60","Fagner",2018,"Brazil",-0.42,-0.59,0.42,-0.27,1.16,0.34,-0.17,0.21,0.86,2.81,0.35,-0.45,-0.89,0.94,-0.15,0
"61","Fernandinho",2018,"Brazil",-0.42,-0.38,-0.04,-0.71,-0.01,-0.59,-0.67,-0.7,-0.82,2.58,-0.67,0.56,0.52,0.06,-0.4,-0.64
"62","Filipe Luís",2018,"Brazil",-0.42,-0.55,-0.04,-0.53,0.07,0.03,-0.42,0.21,-0.11,0.11,-0.55,0.17,-0.54,-0.82,-0.91,-0.33
"63","Gabriel Jesus",2018,"Brazil",-0.42,0.78,-0.04,4.32,-0.42,-0.69,0.82,0.21,1.71,1.74,-0.29,-0.45,0.52,0.64,-0.15,1.96
"64","Marcelo",2018,"Brazil",-0.42,-0.41,1.36,0.09,1.6,1.94,0.32,2.05,0.94,2.2,-0.03,-0.45,-0.01,-0.82,-0.15,1.23
"65","Miranda",2018,"Brazil",-0.42,-0.47,-0.51,-0.09,1.5,0.29,-0.42,-0.44,2.31,1.81,1.63,3.79,0.87,1.23,0.11,-0.44
"66","Neymar",2018,"Brazil",2.33,5.02,4.15,5.82,1.3,0.91,4.78,4.28,0.39,-0.79,-0.8,0.17,-0.72,0.06,5.7,7.28
"67","Paulinho",2018,"Brazil",0.96,1.84,0.42,1.15,0.29,-0.74,0.32,-0.18,1.96,-0.23,-0.8,-0.45,-0.72,-0.23,0.62,0.95
"68","Philippe Coutinho",2018,"Brazil",2.33,2.19,-0.04,1.94,2.12,0.24,1.06,3.76,1.19,-0.23,-0.55,-0.45,-0.19,-0.23,0.87,2.03
"69","Renato Augusto",2018,"Brazil",0.96,0.39,-0.51,-0.35,-0.81,-0.95,-0.67,-0.57,-0.82,-0.39,-0.8,-0.45,-0.72,-1.11,-0.66,-0.53
"70","Roberto Firmino",2018,"Brazil",0.96,2.19,-0.51,1.5,-0.9,-1.05,-0.42,-0.31,-0.27,-0.79,-0.8,-0.45,-0.37,-0.52,-0.66,0.09
"71","Thiago Silva",2018,"Brazil",0.96,1.15,-0.51,1.23,1.89,0.7,-0.67,1.13,0.99,1.95,2.02,3.44,0.87,-0.52,-0.15,-0.6
"72","Willian",2018,"Brazil",-0.42,-0.34,1.36,0,0.42,0.03,2.05,2.71,0.14,1.18,-0.55,-0.45,-0.19,0.35,1.63,1.39
"73","Abel Aguilar",2018,"Colombia",-0.42,-0.59,-0.51,-0.8,-1.16,-1.04,-0.67,-0.68,-0.82,-0.79,-0.8,-0.45,-0.69,-1.11,-0.91,-0.77
"74","Carlos Bacca",2018,"Colombia",-0.42,-0.35,-0.51,0.12,-1.01,-0.98,-0.67,-0.53,-0.26,-0.79,-0.8,-0.45,0.12,0.24,-0.62,-0.21
"75","Carlos Sánchez",2018,"Colombia",-0.42,-0.59,-0.51,-0.8,-0.37,-0.39,-0.67,-0.84,0.21,-0.5,-0.65,-0.45,-0.49,0.91,-0.62,-0.62
"76","David Ospina",2018,"Colombia",-0.42,-0.59,-0.51,-0.8,-0.36,1.1,-0.67,-0.84,-0.82,-0.79,-0.65,-0.45,-0.69,-1.11,-0.32,-0.77
"77","Davinson Sánchez",2018,"Colombia",-0.42,-0.41,-0.51,0.22,0.88,1.04,-0.67,-0.68,-0.52,0.91,3.19,2.92,1.14,-0.44,-0.32,-0.72
"78","James Rodríguez",2018,"Colombia",-0.42,-0.35,-0.51,0.02,-0.16,-0.15,0.76,-0.53,-0.39,-0.26,-0.65,-0.45,-0.69,0.24,-0.32,-0.16
"79","Jefferson Lerma",2018,"Colombia",-0.42,-0.53,-0.51,-0.8,-0.25,-0.86,-0.67,-0.53,-0.67,-0.48,0.08,0.55,-0.28,-0.1,-0.03,-0.52
"80","Johan Mojica",2018,"Colombia",-0.42,-0.57,1.11,-0.8,0.77,1.64,-0.1,-0.08,0.86,0.1,1.12,-0.45,0.73,-0.1,-0.32,0.01
"81","José Izquierdo",2018,"Colombia",-0.42,-0.59,0.03,-0.8,-1.03,-1.1,-0.1,-0.53,-0.82,-0.79,-0.8,-0.45,-0.69,-0.77,-0.91,-0.65
"82","Juan Cuadrado",2018,"Colombia",1.17,0.65,2.18,-0.08,0.51,0.63,1.9,0.83,-0.39,0.18,-0.06,-0.45,-0.49,0.24,2.61,1.41
"83","Juan Quintero",2018,"Colombia",1.17,0,1.11,-0.59,0.55,1.46,-0.1,0.83,-0.16,-0.79,-0.65,-0.45,-0.89,-0.77,-0.03,1.77
"84","Luis Muriel",2018,"Colombia",-0.42,-0.43,-0.51,-0.69,-1.03,-1.04,-0.38,-0.53,-0.02,-0.79,-0.8,-0.45,0.12,-0.1,-0.91,-0.49
"85","Mateus Uribe",2018,"Colombia",-0.42,-0.14,-0.51,-0.69,-0.26,-0.63,-0.1,-0.53,1.16,0.1,-0.36,0.55,-0.49,-0.44,-0.62,-0.57
"86","Radamel Falcao",2018,"Colombia",1.17,1.68,-0.51,1.85,-0.13,-1.1,0.76,-0.23,-0.67,-0.79,-0.21,-0.45,1.95,1.25,1.73,-0.32
"87","Santiago Arias",2018,"Colombia",-0.42,-0.57,0.03,-0.29,1.06,1.4,-0.67,-0.38,0.41,1.9,0.82,1.21,0.73,1.92,0.56,-0.42
"88","Wilmar Barrios",2018,"Colombia",-0.42,-0.59,-0.51,-0.8,0.15,-0.15,-0.67,-0.38,1.8,0.55,0.08,0.2,-0.49,1.59,-0.03,-0.7
"89","Yerry Mina",2018,"Colombia",4.34,0.69,-0.51,0.22,0.61,-0.21,-0.38,0.38,0.34,0.55,2.6,0.85,1.95,0.91,0.56,-0.77
"90","Óscar Murillo",2018,"Colombia",-0.42,-0.49,-0.51,-0.29,-0.81,-0.75,-0.67,-0.53,-0.82,-0.48,0.68,-0.45,0.33,-1.11,-0.62,-0.77
"91","Bryan Oviedo",2018,"Costa Rica",-0.42,-0.36,0.27,-0.06,-0.27,0.45,-0.67,-0.4,-0.49,-0.19,0.05,-0.45,-0.31,0.84,-0.91,-0.26
"92","Bryan Ruiz",2018,"Costa Rica",-0.42,1.93,-0.51,-0.21,0.62,0.1,2.63,0.26,-0.56,-0.07,-0.38,-0.45,0.87,0.35,1.63,-0.33
"93","Celso Borges",2018,"Costa Rica",-0.42,0.76,0.27,0.38,0.66,-0.07,0.16,-0.4,0.01,-0.14,0.48,-0.45,0.87,-0.14,-0.91,-0.11
"94","Christian Bolaños",2018,"Costa Rica",-0.42,-0.59,0.27,-0.35,-0.79,-0.93,0.16,-0.62,-0.26,-0.79,-0.8,-0.45,-0.89,-1.11,-0.91,-0.41
"95","Cristian Gamboa",2018,"Costa Rica",-0.42,-0.38,1.05,-0.65,0.17,1.48,0.57,-0.62,1.49,-0.65,0.05,-0.3,0.28,0.84,1.63,0.48
"96","Daniel Colindres",2018,"Costa Rica",-0.42,-0.24,0.27,0.23,-0.89,-0.76,-0.26,-0.4,-0.26,-0.39,-0.8,-0.45,-0.89,0.84,0.36,-0.19
"97","David Guzmán",2018,"Costa Rica",-0.42,-0.5,1.05,-0.8,0.53,0.53,0.16,-0.18,-0.26,0.84,0.26,-0.45,-0.31,2.3,-0.49,0.4
"98","Francisco Calvo",2018,"Costa Rica",-0.42,-0.5,-0.51,-0.8,-0.31,0.27,-0.26,-0.84,0.52,-0.21,0.05,-0.45,-0.01,-0.62,-0.91,-0.48
"99","Giancarlo González",2018,"Costa Rica",-0.42,0.88,-0.51,-0.06,0.15,0.02,-0.67,-0.62,-0.82,0.19,3.89,2.22,0.87,-0.62,-0.06,-0.77
"100","Joel Campbell",2018,"Costa Rica",-0.42,-0.18,0.27,1.12,-0.7,-0.41,2.63,0.48,-0.82,-0.59,-0.8,-0.45,-0.6,0.35,0.36,1.5
"101","Johan Venegas",2018,"Costa Rica",-0.42,-0.59,-0.51,0.09,-0.72,-0.59,-0.26,-0.84,-0.76,0.44,-0.8,-0.45,1.16,1.81,0.79,-0.52
"102","Johnny Acosta",2018,"Costa Rica",-0.42,-0.59,-0.51,-0.8,0.07,0.79,-0.67,-0.4,0.01,-0.59,0.69,-0.14,0.28,-0.62,1.21,-0.77
"103","Kendall Waston",2018,"Costa Rica",1.88,-0.36,-0.51,-0.5,-0.56,-0.07,-0.67,-0.4,-0.82,-0.19,0.48,0,-0.31,-1.11,-0.49,-0.63
"104","Keylor Navas",2018,"Costa Rica",-0.42,-0.59,0.27,-0.8,-0.08,2.51,-0.67,-0.84,-0.82,0.37,-0.38,-0.45,0.28,-1.11,-0.06,-0.66
"105","Marco Ureña",2018,"Costa Rica",-0.42,-0.27,-0.51,-0.21,-0.96,-1.1,-0.26,-0.84,-0.19,-0.79,-0.8,-0.45,-0.6,0.84,-0.49,-0.37
"106","Óscar Duarte",2018,"Costa Rica",-0.42,-0.47,0.27,0.38,-0.12,0.1,0.16,0.04,-0.82,-0.72,1.12,-0.45,0.87,-0.14,-0.49,0.07
"107","Andrej Kramaric",2018,"Croatia",0.52,0.27,0.45,0.83,-0.34,-0.93,-0.16,0.15,-0.22,-0.79,-0.54,-0.45,-0.65,-0.71,-0.39,-0.13
"108","Ante Rebic",2018,"Croatia",0.52,0.62,-0.19,1.37,-0.68,-0.65,2.37,0.51,1.02,0.97,-0.19,-0.45,0.79,3.07,1,0.34
"109","Danijel Subasic",2018,"Croatia",-0.42,-0.59,-0.51,-0.8,-0.03,1.93,-0.67,-0.75,-0.82,-0.79,-0.72,-0.45,-0.41,-1.11,-0.56,-0.77
"110","Dejan Lovren",2018,"Croatia",-0.42,0.25,-0.51,0.71,1.36,0.76,-0.67,0.24,0.51,0.19,2.08,2.91,3.55,0.28,-0.04,-0.59
"111","Domagoj Vida",2018,"Croatia",0.52,-0.37,-0.51,-0.13,0.81,0.13,-0.5,-0.39,0.13,1.86,2.25,1.56,0.79,-0.71,-0.56,-0.53
"112","Duje Caleta-Car",2018,"Croatia",-0.42,-0.59,-0.51,-0.8,-1.02,-1.03,-0.67,-0.84,-0.82,-0.79,-0.1,-0.45,-0.77,-1.11,-0.91,-0.77
"113","Filip Bradaric",2018,"Croatia",-0.42,-0.59,-0.51,-0.8,-1.19,-1.07,-0.67,-0.84,-0.82,-0.79,-0.72,-0.45,-0.89,-1.11,-0.91,-0.77
"114","Ivan Perisic",2018,"Croatia",2.4,1,0.76,2.51,-0.21,-0.22,0.17,0.51,0.67,0.31,-0.19,0.9,0.55,-0.31,-0.04,1.03
"115","Ivan Rakitic",2018,"Croatia",0.52,0.88,1.4,-0.07,1.6,0.98,1.19,1.13,-0.1,0.18,0.07,0.39,0.55,0.68,2.56,1.12
"116","Ivan Strinic",2018,"Croatia",-0.42,-0.59,-0.19,-0.43,0.52,0.9,0.01,0.24,0.72,0.43,1.12,0.13,0.43,0.88,0.48,-0.46
"117","Josip Pivaric",2018,"Croatia",-0.42,-0.52,0.13,-0.62,-0.24,-0.08,0.68,-0.39,-0.15,-0.43,-0.45,0.13,-0.77,-0.11,-0.91,-0.26
"118","Lovre Kalinic",2018,"Croatia",-0.42,-0.59,-0.51,-0.8,-1.16,-0.86,-0.67,-0.84,-0.82,-0.79,-0.72,-0.45,-0.53,-1.11,-0.74,-0.77
"119","Luka Modric",2018,"Croatia",1.46,1.59,2.35,-0.07,2.12,1.64,1.86,1.67,0.51,1.56,-0.54,-0.45,0.07,1.28,1.17,2.05
"120","Marcelo Brozovic",2018,"Croatia",-0.42,-0.47,-0.51,-0.68,1.36,0.27,-0.67,-0.03,2.05,0.05,0.33,-0.45,0.79,-0.11,0.13,-0.41
"121","Mario Mandzukic",2018,"Croatia",2.4,2.97,-0.19,2.09,-0.37,-0.68,-0.33,-0.3,2.27,-0.54,0.16,0.13,2.11,1.48,1.17,0.08
"122","Marko Pjaca",2018,"Croatia",-0.42,-0.55,-0.51,-0.74,-1.11,-1.03,-0.67,-0.84,-0.47,-0.79,-0.8,-0.45,-0.53,-0.91,-0.22,-0.71
"123","Mateo Kovacic",2018,"Croatia",-0.42,-0.41,-0.51,-0.43,-0.37,-0.65,0.34,0.06,1.04,-0.79,-0.54,0.32,-0.65,-0.51,0.3,-0.41
"124","Milan Badelj",2018,"Croatia",0.52,-0.41,-0.51,-0.74,-0.75,-0.72,-0.16,-0.66,-0.15,1.26,-0.63,-0.45,-0.89,-0.31,-0.56,-0.56
"125","Sime Vrsaljko",2018,"Croatia",-0.42,-0.47,1.72,0.11,1.01,1.12,-0.16,0.95,0.35,1.78,0.59,0.13,0.79,0.88,0.3,0.85
"126","Tin Jedvaj",2018,"Croatia",-0.42,-0.59,-0.51,-0.8,-0.98,-0.68,-0.67,-0.75,-0.49,-0.45,-0.54,-0.45,-0.53,-0.91,-0.91,-0.56
"127","Vedran Corluka",2018,"Croatia",-0.42,-0.59,-0.51,-0.8,-0.81,-0.65,-0.16,-0.66,-0.49,0.25,0.42,-0.45,-0.29,-0.51,-0.91,-0.77
"128","Andreas Christensen",2018,"Denmark",-0.42,-0.59,-0.51,-0.59,0.88,-0.39,-0.67,0.53,-0.31,0.16,1.41,2.17,-0.08,-0.44,-0.03,-0.77
"129","Andreas Cornelius",2018,"Denmark",-0.42,-0.59,0.03,0.32,-0.99,-0.86,-0.38,-0.68,-0.82,-0.79,-0.51,-0.45,2.97,-0.1,-0.03,-0.14
"130","Christian Eriksen",2018,"Denmark",1.17,0.91,2.18,0.73,0.51,0.03,0.47,0.22,-0.31,0.06,-0.36,0.26,0.12,-1.11,-0.03,0.7
"131","Henrik Dalsgaard",2018,"Denmark",-0.42,-0.59,0.03,-0.8,0.52,1.52,-0.38,-0.08,1.53,0.42,2.74,0.8,2.15,1.59,-0.62,-0.19
"132","Jens Stryger Larsen",2018,"Denmark",-0.42,-0.43,-0.51,-0.18,-0.24,-0.21,-0.38,-0.68,-0.52,-0.46,0.08,0.26,-0.08,-0.77,-0.91,-0.21
"133","Jonas Knudsen",2018,"Denmark",-0.42,-0.59,0.03,-0.59,-0.83,-0.21,-0.38,-0.84,-0.82,-0.79,-0.36,-0.45,-0.28,-0.77,-0.91,0.45
"134","Kasper Schmeichel",2018,"Denmark",-0.42,-0.59,-0.51,-0.8,-0.18,2.53,-0.67,-0.84,-0.82,-0.48,-0.51,-0.45,-0.69,-1.11,-0.91,-0.32
"135","Lasse Schöne",2018,"Denmark",-0.42,-0.33,-0.51,-0.59,0.11,-0.27,-0.67,-0.68,0.04,0.56,0.08,0.18,-0.08,-0.44,-0.32,0.07
"136","Martin Braithwaite",2018,"Denmark",-0.42,-0.16,-0.51,0.32,-0.78,-0.92,0.19,-0.84,-0.82,-0.72,-0.36,-0.45,-0.08,0.58,-0.62,-0.47
"137","Mathias Jørgensen",2018,"Denmark",1.17,-0.27,-0.51,-0.49,-0.18,-0.21,-0.67,-0.53,-0.76,-0.51,0.82,-0.45,-0.08,0.24,-0.32,-0.55
"138","Nicolai Jørgensen",2018,"Denmark",-0.42,0.42,-0.51,1.04,-0.85,-0.98,-0.67,-0.23,-0.31,-0.79,-0.06,-0.45,0.53,0.24,-0.91,0.65
"139","Pione Sisto",2018,"Denmark",-0.42,-0.24,0.57,0.02,-0.34,-0.39,2.47,0.53,-0.26,-0.15,-0.65,-0.45,-0.89,-1.11,0.85,0.42
"140","Simon Kjaer",2018,"Denmark",-0.42,-0.59,-0.51,0.02,1.25,1.58,-0.67,-0.08,-0.21,-0.79,3.93,0.13,0.53,-0.44,-0.62,0.12
"141","Thomas Delaney",2018,"Denmark",-0.42,-0.22,-0.51,0.63,0.56,-0.09,-0.1,-0.23,1.12,0.75,-0.06,0.33,1.55,2.94,-0.03,-0.04
"142","Viktor Fischer",2018,"Denmark",-0.42,-0.55,-0.51,-0.8,-1.16,-1.04,-0.67,-0.84,-0.82,-0.79,-0.65,-0.45,-0.89,-1.11,-0.91,-0.77
"143","William Kvist",2018,"Denmark",-0.42,-0.59,-0.51,-0.8,-1.02,-0.98,-0.67,-0.84,-0.82,-0.79,-0.8,-0.45,-0.69,-1.11,-0.62,-0.75
"144","Yussuf Yurary Poulsen",2018,"Denmark",1.17,0.14,-0.51,1.24,-0.5,-0.81,1.33,0.53,-0.03,0.02,-0.06,0.8,2.15,1.92,-0.32,-0.04
